,state,district,category,type,date,crimes
248,Johor,Johor Bahru Selatan,property,break_in,2016,432
249,Johor,Johor Bahru Selatan,property,break_in,2017,263
250,Johor,Johor Bahru Selatan,property,break_in,2018,220
251,Johor,Johor Bahru Selatan,property,break_in,2019,283
252,Johor,Johor Bahru Selatan,property,break_in,2020,287
253,Johor,Johor Bahru Selatan,property,break_in,2021,191
254,Johor,Johor Bahru Selatan,property,break_in,2022,154
255,Johor,Johor Bahru Selatan,property,break_in,2023,173
256,Johor,Johor Bahru Selatan,property,theft_other,2016,658
257,Johor,Johor Bahru Selatan,property,theft_other,2017,658
258,Johor,Johor Bahru Selatan,property,theft_other,2018,539
259,Johor,Johor Bahru Selatan,property,theft_other,2019,430
260,Johor,Johor Bahru Selatan,property,theft_other,2020,315
261,Johor,Johor Bahru Selatan,property,theft_other,2021,142
262,Johor,Johor Bahru Selatan,property,theft_other,2022,253
263,Johor,Johor Bahru Selatan,property,theft_other,2023,259
264,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2016,87
265,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2017,65
266,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2018,55
267,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2019,37
268,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2020,16
269,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2021,10
270,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2022,5
271,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2023,7
272,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2016,514
273,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2017,344
274,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2018,317
275,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2019,283
276,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2020,205
277,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2021,89
278,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2022,93
279,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2023,110
280,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2016,1111
281,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2017,945
282,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2018,911
283,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2019,733
284,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2020,442
285,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2021,177
286,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2022,228
287,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2023,304
288,Johor,Johor Bahru Utara,assault,causing_injury,2016,129
289,Johor,Johor Bahru Utara,assault,causing_injury,2017,96
290,Johor,Johor Bahru Utara,assault,causing_injury,2018,102
291,Johor,Johor Bahru Utara,assault,causing_injury,2019,140
292,Johor,Johor Bahru Utara,assault,causing_injury,2020,83
293,Johor,Johor Bahru Utara,assault,causing_injury,2021,57
294,Johor,Johor Bahru Utara,assault,causing_injury,2022,53
295,Johor,Johor Bahru Utara,assault,causing_injury,2023,60
296,Johor,Johor Bahru Utara,assault,murder,2016,7
297,Johor,Johor Bahru Utara,assault,murder,2017,8
298,Johor,Johor Bahru Utara,assault,murder,2018,5
299,Johor,Johor Bahru Utara,assault,murder,2019,1
300,Johor,Johor Bahru Utara,assault,murder,2020,3
301,Johor,Johor Bahru Utara,assault,murder,2021,0
302,Johor,Johor Bahru Utara,assault,murder,2022,4
303,Johor,Johor Bahru Utara,assault,murder,2023,4
304,Johor,Johor Bahru Utara,assault,rape,2016,23
305,Johor,Johor Bahru Utara,assault,rape,2017,16
306,Johor,Johor Bahru Utara,assault,rape,2018,19
307,Johor,Johor Bahru Utara,assault,rape,2019,23
308,Johor,Johor Bahru Utara,assault,rape,2020,17
309,Johor,Johor Bahru Utara,assault,rape,2021,19
310,Johor,Johor Bahru Utara,assault,rape,2022,10
311,Johor,Johor Bahru Utara,assault,rape,2023,24
312,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2016,0
313,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2017,1
314,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2018,1
315,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2019,0
